text,category
Кіноклуб абонемент,Розваги
Заробітна плата,Зарплата
Лабораторія CSD,Здоров'я
Паром переправа,Транспорт
Штраф адміністративний,Інше
Мийка авто,Транспорт
Газ постачання,Комунальні
Психотерапевт сеанс,Здоров'я
Disney Plus підписка,Розваги
Водопостачання рахунок,Комунальні
Продуктовий магазин,Їжа
Burger King,Їжа
Настільні ігри магазин,Розваги
Кабельне телебачення,Комунальні
Кавярня Aroma,Їжа
Makro продукти,Їжа
Остеопат сеанс,Здоров'я
ДТЕК електрика,Комунальні
Страхування майна,Інше
Поштові послуги,Інше
Comfy електроніка,Інше
Varus супермаркет,Їжа
Більярдна зала,Розваги
Фітнес клуб World Class,Здоров'я
Квіти магазин,Інше
Apple Music підписка,Розваги
Виплата бонусу,Зарплата
Apple Store,Інше
Фізіотерапія курс,Здоров'я
YouTube Premium,Розваги
Comfy електроніка,Інше
ФОП виплата місячна,Зарплата
Єдина квитанція,Комунальні
Аптека Доброго Дня,Здоров'я
Суші майстер,Їжа
Квартплата,Комунальні
Тренажерний зал,Здоров'я
Нова Пошта,Інше
Karaoke вечір,Розваги
Метро Cash&Carry,Їжа
AliExpress товар,Інше
ДТЕК електрика,Комунальні
Karaoke вечір,Розваги
Барна стійка,Розваги
Ювелірний магазин,Інше
Дохід Fiverr,Зарплата
Лабораторія Діла,Здоров'я
Річна премія,Зарплата
Пілатес заняття,Здоров'я
Інтернет Lifecell,Комунальні
Клініка Борис,Здоров'я
Каршерінг Delimobil,Транспорт
Охорона будинку,Комунальні
Техогляд авто,Транспорт
Офтальмолог прийом,Здоров'я
Аналізи крові,Здоров'я
Дохід ПП,Зарплата
Клас маркет,Їжа
Медичний центр Добробут,Здоров'я
Домашня кухня кафе,Їжа
ОСББ внесок,Комунальні
Виплата ТОВ Альфа,Зарплата
Електроавтобус картка,Транспорт
МЦ Оберіг,Здоров'я
Аванс ТОВ,Зарплата
KFC ресторан,Їжа
Трамвай картка,Транспорт
Паперові товари,Інше
Клініка Борис,Здоров'я
Концерт квиток,Розваги
Укрпошта доставка вантажу,Транспорт
Остеопат сеанс,Здоров'я
Зарплата підприємство,Зарплата
Послуги нотаріуса,Інше
М'ясна лавка,Їжа
Виплата ТОВ Бета,Зарплата
Медичний огляд,Здоров'я
Нафтогаз,Комунальні
Паром переправа,Транспорт
Укрпошта доставка вантажу,Транспорт
Uber таксі,Транспорт
Nintendo eShop,Розваги
Зоомагазин,Інше
Боулінг клуб,Розваги
H&M покупка,Інше
ФОП виплата місячна,Зарплата
Домашня кухня кафе,Їжа
ДТЕК електрика,Комунальні
Подарунок покупка,Інше
Виплата ТОВ Альфа,Зарплата
Karaoke вечір,Розваги
ФОП виплата місячна,Зарплата
Фізіотерапія курс,Здоров'я
Суші майстер,Їжа
SportLife абонемент,Здоров'я
БРСМ паливо,Транспорт
Costa Coffee,Їжа
ФОП виплата місячна,Зарплата
Квартальна премія,Зарплата
Поповнення Vodafone,Інше
Поповнення Lifecell,Інше
Виплата ТОВ Альфа,Зарплата
Страховка житла,Комунальні
Невролог прийом,Здоров'я
Мережа Євроопт,Їжа
Дієтолог прийом,Здоров'я
Гонорар за проект,Зарплата
Ремонт телефону,Інше
Клас маркет,Їжа
WOG АЗС,Транспорт
Репетиторство оплата,Зарплата
Невролог прийом,Здоров'я
Клас маркет,Їжа
ДТЕК електрика,Комунальні
Особистий тренер,Здоров'я
Квартальна премія,Зарплата
Лікар Салат,Їжа
Єдина квитанція,Комунальні
Нова Пошта,Інше
Зарплата ТОВ Гамма,Зарплата
Метро Київ,Транспорт
Мийка авто,Транспорт
Гравірування хобі,Розваги
Невролог прийом,Здоров'я
Домофон обслуговування,Комунальні
Аванс ФОП,Зарплата
Газ постачання,Комунальні
Паперові товари,Інше
Київенерго електроенергія,Комунальні
Річна премія,Зарплата
Дискотека вхід,Розваги
Аналізи крові,Здоров'я
Billa продукти,Їжа
Фізіотерапія курс,Здоров'я
Фестиваль вхідний,Розваги
Ельдорадо гаджет,Інше
Квартальна премія,Зарплата
Аптека 911,Здоров'я
Аванс ТОВ Дельта,Зарплата
Burger King,Їжа
Лабораторія CSD,Здоров'я
Автобус Київ,Транспорт
Disney Plus підписка,Розваги
Кіноклуб абонемент,Розваги
Фестиваль вхідний,Розваги
Justin доставка,Інше
ФОП виплата місячна,Зарплата
VR клуб,Розваги
Відеотека оренда,Розваги
Каршерінг Delimobil,Транспорт
Кулиничі,Їжа
Декретні виплата,Зарплата
Інтернет Lifecell,Комунальні
Comfy електроніка,Інше
Netflix підписка,Розваги
Велопрокат Nextbike,Транспорт
Аванс ТОВ,Зарплата
McDonalds,Їжа
Гонорар за проект,Зарплата
Трамвай картка,Транспорт
Мережа Євроопт,Їжа
Молочний ринок,Їжа
Поштові послуги,Інше
Фокстрот техніка,Інше
Spotify музика,Розваги
Водолічильник повірка,Комунальні
Karaoke вечір,Розваги
Лабораторія Діла,Здоров'я
Karaoke вечір,Розваги
Картинг клуб,Розваги
Тролейбус поповнення,Транспорт
ФОП дохід,Зарплата
ФОП виплата місячна,Зарплата
Дієтолог прийом,Здоров'я
Метро Cash&Carry,Їжа
МЦ Оберіг,Здоров'я
Опера квиток,Розваги
PlayStation Store,Розваги
Послуги нотаріуса,Інше
Поповнення Vodafone,Інше
Елітне таксі,Транспорт
Вивіз сміття,Комунальні
Goodwine вино,Їжа
Easy Park паркування,Транспорт
Проектна виплата,Зарплата
Nash Format книги,Інше
Ліфт обслуговування,Комунальні
Кіноклуб абонемент,Розваги
Uber Eats замовлення,Їжа
Нова Пошта доставка великого,Транспорт
Боулінг клуб,Розваги
Закупівля тижнева,Їжа
Піца з доставкою,Їжа
Опера квиток,Розваги
YouTube Premium,Розваги
Аквапарк,Розваги
Аванс ФОП,Зарплата
Якitoriya,Їжа
Лікарняний виплата,Зарплата
Зоопарк квиток,Розваги
Заробітна плата,Зарплата
Квартальна премія,Зарплата
Квартплата,Комунальні
Каршерінг Delimobil,Транспорт
H&M покупка,Інше
Виплата фріланс Upwork,Зарплата
Оплата Ясно,Комунальні
Концерт квиток,Розваги
Репетиторство оплата,Зарплата
Дохід Fiverr,Зарплата
Остеопат сеанс,Здоров'я
Фокстрот техніка,Інше
Scooter оренда,Транспорт
Дохід від фрілансу,Зарплата
Дохід Fiverr,Зарплата
Медичний огляд,Здоров'я
Вивіз сміття,Комунальні
Річна премія,Зарплата
Страховка житла,Комунальні
ДТЕК паркування,Транспорт
Scooter оренда,Транспорт
Виплата ТОВ Бета,Зарплата
Музей вхід,Розваги
МРТ обстеження,Здоров'я
Теплопостачання,Комунальні
Стоматологія,Здоров'я
Вивіз сміття,Комунальні
Apple Music підписка,Розваги
Yoga студія,Здоров'я
Netflix підписка,Розваги
Нафтогаз,Комунальні
Виставка квиток,Розваги
Оплата Ясно,Комунальні
Масаж лікувальний,Здоров'я
Консультація лікаря,Здоров'я
Платіжка ЖКГ,Комунальні
Опалення сезон,Комунальні
Amazon замовлення,Інше
Сніданок кафе,Їжа
Ліфт обслуговування,Комунальні
Остеопат сеанс,Здоров'я
Техогляд авто,Транспорт
Гонорар за проект,Зарплата
Охорона будинку,Комунальні
Заробітна плата,Зарплата
PlayStation Store,Розваги
Аванс ТОВ Дельта,Зарплата
Billa продукти,Їжа
ДТЕК електрика,Комунальні
Виплата бонусу,Зарплата
Домофон обслуговування,Комунальні
Nintendo eShop,Розваги
Yoga студія,Здоров'я
Річна премія,Зарплата
ФОП дохід,Зарплата
Каршерінг Getmancar,Транспорт
Проектна виплата,Зарплата
Rent a car,Транспорт
Канцтовари офісні,Інше
Leroy Merlin ремонт,Інше
Зарплата підприємство,Зарплата
Лабораторія Діла,Здоров'я
Uber таксі,Транспорт
Відеотека оренда,Розваги
Shell АЗС,Транспорт
Фокстрот техніка,Інше
Оренда квартири,Комунальні
Єдина квитанція,Комунальні
Книгарня Є,Інше
IKEA меблі,Інше
Супутникове ТВ,Комунальні
Домашня кухня кафе,Їжа
Зоопарк квиток,Розваги
Метро Київ,Транспорт
Консалтинг оплата,Зарплата
Аптека 911,Здоров'я
Поповнення мобільного Київстар,Інше
Єдина квитанція,Комунальні
Diia розваги,Розваги
